,source,author,title,description,url,urlToImage,publishedAt,content,keyword,article_sentiment,article_confidence,sentiment,confidence
12,Zacks.com,Zacks Equity Research,Semiconductor Sales Growing on Soaring Demand: 5 Fund Picks,"The semiconductor market is on a high owing to soaring demand, which is helping funds like FELIX, FKDNX and FSELX.",http://www.zacks.com/stock/news/1867125/semiconductor-sales-growing-on-soaring-demand-5-fund-picks?cid=CS-ENTREPRENEUR-FT-mutual_fund_commentary-1867125,https://assets.entrepreneur.com/providers/zacks/hero-image-zacks-418505.jpeg,2022-02-14T14:51:00Z,"The semiconductor sector has been on a tear over the past couple of years. Microchip demand has been on the rise thanks to its increased adoption in consumer electronics, automotive, industrial tools… [+6866 chars]",Helping,,,POSITIVE,0.9973459243774414
13,Reuters,,Turkey's Halkbank shares jump after U.S. prosecution put on hold - Reuters,"Turkey's Halkbank shares climbed more than 8% on Monday after a U.S. appeals court put its prosecution by the federal government, for allegedly helping Iran evade American sanctions, on hold while the bank appeals to the U.S. Supreme Court.",https://www.reuters.com/business/finance/turkeys-halkbank-shares-jump-after-us-prosecution-put-hold-2022-01-17/,https://www.reuters.com/resizer/2GjFW7UCQLBLlfKuxgAy0dSflgM=/1200x628/smart/filters:quality(80)/cloudfront-us-east-2.images.arcpublishing.com/reuters/VTZFB3CQT5I7FC7D5K6JQEWSVQ.jpg,2022-01-17T07:42:00Z,"ISTANBUL, Jan 17 (Reuters) - Turkey's Halkbank shares climbed more than 8% on Monday after a U.S. appeals court put its prosecution by the federal government, for allegedly helping Iran evade America… [+1833 chars]",Helping,,,NEGATIVE,0.9950679540634155
14,Reuters,,Norway's Summa raises $2.6 billion in latest 'impact' fund - Reuters,"Summa Equity said it has raised 2.3 billion euros ($2.6 billion) for Europe's biggest-ever 'impact' fund, which is focused on helping meet the U.N.'s 17 Sustainable Development Goals.",https://www.reuters.com/world/europe/norways-summa-raises-26-billion-latest-impact-fund-2022-01-20/,https://www.reuters.com/pf/resources/images/reuters/reuters-default.png?d=67,2022-01-20T08:14:00Z,"LONDON, Jan 20 (Reuters) - Summa Equity said it has raised 2.3 billion euros ($2.6 billion) for Europe's biggest-ever 'impact' fund, which is focused on helping meet the U.N.'s 17 Sustainable Develop… [+1351 chars]",Helping,,,POSITIVE,0.9596059918403625
15,Reuters,,"U.S. economy regained speed in Q4, 2021 growth best since 1984 - Reuters","U.S. economic growth accelerated in the fourth quarter as businesses replenished depleted inventories to meet strong demand for goods, helping the nation to post its best performance in nearly four decades in 2021.",https://www.reuters.com/world/us/us-economy-regained-speed-q4-2021-growth-best-since-1984-2022-01-27/,https://www.reuters.com/resizer/Ni8ol6_Lf6YnfpkaIeHkA_CY7D4=/1200x628/smart/filters:quality(80)/cloudfront-us-east-2.images.arcpublishing.com/reuters/USOBICTWNZLCZE6ASSOYUU4P44.jpg,2022-01-27T13:41:00Z,"WASHINGTON, Jan 27 (Reuters) - U.S. economic growth accelerated in the fourth quarter as businesses replenished depleted inventories to meet strong demand for goods, helping the nation to post its be… [+3217 chars]",Helping,,,POSITIVE,0.997748076915741
16,Reuters,Reuters Editorial,"Wall Street rallies, led by 2% Nasdaq jump - Reuters.com","Wall Street advanced Wednesday on upbeat earnings reports and the benchmark 10-year U.S. Treasury yield falling from multi-year highs, helping steady investor sentiment and boosting demand for growth stocks.",https://www.reuters.com/video/watch/idOVFXYKCY3,https://static.reuters.com/resources/r/?d=20220209&i=OVFXYKCY3&r=OVFXYKCY3&t=2,2022-02-09T23:08:04Z,"Posted 
Wall Street advanced Wednesday on upbeat earnings reports and the benchmark 10-year U.S. Treasury yield falling from multi-year highs, helping steady investor sentiment and boosting demand f… [+16 chars]",Helping,,,NEGATIVE,0.8121704459190369
17,Reuters,Reuters Staff,"Yellen says low interest rates, manageable U.S. debt to continue after pandemic - Reuters.com","U.S. Treasury Secretary Janet Yellen said on Friday she believes the economic forces that have keep interest rates low in recent decades will continue after the COVID-19 pandemic ends, helping to keep the U.S. debt burden manageable.",https://www.reuters.com/article/davos-meeting-yellen-debt-idUSW1N2LK046,https://s1.reutersmedia.net/resources_v2/images/rcom-default.png?w=800,2022-01-21T17:24:00Z,"By Reuters Staff
WASHINGTON, Jan 21 (Reuters) - U.S. Treasury Secretary Janet Yellen said on Friday she believes the economic forces that have keep interest rates low in recent decades will continue… [+523 chars]",Helping,,,POSITIVE,0.937386155128479
18,Reuters,,Diplomacy is deterring Russian attack but worst case cannot be excluded - Kyiv - Reuters,"Energetic diplomacy is helping to avert the threat of a Russian military offensive against Ukraine but the worst-case scenario remains a possibility, Ukrainian Foreign Minister Dmytro Kuleba said on Wednesday.",https://www.reuters.com/world/europe/diplomacy-is-deterring-russian-attack-worst-case-cannot-be-excluded-kyiv-2022-02-02/,https://www.reuters.com/resizer/hH2TQGjYn3iM-lNK3XgFHTE_-XY=/1200x628/smart/filters:quality(80)/cloudfront-us-east-2.images.arcpublishing.com/reuters/TWWUVIEXBJKW7KHGE6FQ53T22E.jpg,2022-02-02T16:21:00Z,"KYIV, Feb 2 (Reuters) - Energetic diplomacy is helping to avert the threat of a Russian military offensive against Ukraine but the worst-case scenario remains a possibility, Ukrainian Foreign Ministe… [+2355 chars]",Helping,,,POSITIVE,0.9864098429679871
19,Reuters,,"Asian stocks, euro hold steady ahead of U.S. inflation data - Reuters","Asian equities consolidated recent gains as investors' sentiment improved amid strong results by U.S. companies, helping stocks recover from the worst start to the year since 2016, while a resurgent euro paused ahead of U.S inflation data.",https://www.reuters.com/markets/europe/global-markets-wrapup-1-2022-02-08/,https://www.reuters.com/resizer/6t08wMTIDeLHP7Jf67eBsrB2hAI=/1200x628/smart/filters:quality(80)/cloudfront-us-east-2.images.arcpublishing.com/reuters/54RQL3MHPRJZNGQA2BKMR4ZJFI.jpg,2022-02-08T02:46:00Z,"SINGAPORE, Feb 8 (Reuters) - Asian equities consolidated recent gains as investors' sentiment improved amid strong results by U.S. companies, helping stocks recover from the worst start to the year s… [+3693 chars]",Helping,,,POSITIVE,0.7553738355636597
20,Reuters,,Ice hockey-Danish delight Nielsen builds barrier-breaking legacy - Reuters,"The pride of Denmark, Frans Nielsen, got his Beijing campaign off to a roaring start on Wednesday, helping his team of Olympic newcomers to a 2-1 victory over Czech Republic and building on his legacy at home.",https://www.reuters.com/lifestyle/sports/ice-hockey-danish-delight-nielsen-builds-barrier-breaking-legacy-2022-02-09/,https://www.reuters.com/resizer/zOZjqBYq7dijMyxQl0AzjqCkyNg=/1200x628/smart/filters:quality(80)/cloudfront-us-east-2.images.arcpublishing.com/reuters/2PEOKQOSHNOP3HF2HZKYK33GSY.jpg,2022-02-09T18:15:00Z,"BEIJING, Feb 10 (Reuters) - The pride of Denmark, Frans Nielsen, got his Beijing campaign off to a roaring start on Wednesday, helping his team of Olympic newcomers to a 2-1 victory over Czech Republ… [+2001 chars]",Helping,,,POSITIVE,0.9987479448318481
21,Reuters,,Kazakh leader thanks Putin for help during January unrest - Reuters,"Kazakh President Kassym-Jomart Tokayev thanked his Russian counterpart Vladimir Putin on Thursday for helping to prevent a coup in the Central Asian nation last month, which both leaders blamed on international ""bandits"" and ""terrorists"".",https://www.reuters.com/world/kazakh-leader-thanks-putin-help-during-january-unrest-2022-02-10/,https://www.reuters.com/resizer/AQQwaggUnwMZ7Lv2-P0xti2eqlc=/1200x628/smart/filters:quality(80)/cloudfront-us-east-2.images.arcpublishing.com/reuters/T5Q4WG7ZVNMFZLK6AO2KTAP5CA.jpg,2022-02-10T11:45:00Z,"MOSCOW, Feb 10 (Reuters) - Kazakh President Kassym-Jomart Tokayev thanked his Russian counterpart Vladimir Putin on Thursday for helping to prevent a coup in the Central Asian nation last month, whic… [+526 chars]",Helping,,,POSITIVE,0.5607752203941345
22,Reuters,Huw Jones,EU ropes in pension funds to boost post-Brexit clearing capacity - Reuters.com,"Mandatory clearing of derivatives contracts by pension funds in the European Union should start in June 2023, helping the bloc to cut reliance on London, the EU's securities watchdog said on Tuesday.",https://www.reuters.com/article/eu-clearing-pensions-idUSKBN2K63VK,https://static.reuters.com/resources/r/?m=02&d=20220201&t=2&i=1589665145&r=LYNXMPEI101WS&w=800,2022-02-01T16:59:00Z,"LONDON (Reuters) - Mandatory clearing of derivatives contracts by pension funds in the European Union should start in June 2023, helping the bloc to cut reliance on London, the EUs securities watchdo… [+2332 chars]",Helping,,,POSITIVE,0.6437374949455261
23,Reuters,,"Innovation is slowly prising open UK banking, regulator says - Reuters","There are signs that innovation is helping to weaken the market grip of Britain's ""Big Four"" banks, but ""challenger"" lenders have found it slow and expensive to build up market share, the Financial Conduct Authority said on Thursday.",https://www.reuters.com/business/finance/innovation-is-slowly-prising-open-uk-banking-regulator-says-2022-01-20/,https://www.reuters.com/resizer/ZTNfMJbWO-gFSVuoXGSqPH_ekVc=/1200x628/smart/filters:quality(80)/cloudfront-us-east-2.images.arcpublishing.com/reuters/UMRZJDBPUNIIJE4BYPWELFHGME.jpg,2022-01-20T10:22:00Z,"A general view is seen of the London skyline from Canary Wharf in London, Britain, October 19, 2016. REUTERS/Hannah McKay/File PhotoLONDON, Jan 20 (Reuters) - There are signs that innovation is helpi… [+673 chars]",Helping,,,NEGATIVE,0.9594910740852356
24,Reuters,,Harbour Energy's Phil Kirk steps down - Reuters,"Harbour Energy's Europe Chief Executive Phil Kirk will step down at the end of the month, after helping transform the company from a small North Sea oil and gas firm to the basin's largest producer.",https://www.reuters.com/business/energy/harbour-energys-phil-kirk-steps-down-2022-02-02/,https://www.reuters.com/pf/resources/images/reuters/reuters-default.png?d=69,2022-02-02T09:30:00Z,"LONDON, Feb 2 (Reuters) - Harbour Energy's Europe Chief Executive Phil Kirk will step down at the end of the month, after helping transform the company from a small North Sea oil and gas firm to the … [+1202 chars]",Helping,,,NEGATIVE,0.8582887053489685
25,Reuters,,Cambodia PM says he was mistaken about Australian's Myanmar release - Reuters,"Cambodian Prime Minister Hun Sen admitted an ""unintentional mistake"" on Monday in taking credit for helping to free an Australian in Myanmar whom the military government said was not being released.",https://www.reuters.com/world/asia-pacific/cambodia-pm-says-he-was-mistaken-about-australians-myanmar-release-2022-02-07/,https://www.reuters.com/resizer/YLRrDELTxPgh9Okgq7OLRFpO46w=/1200x628/smart/filters:quality(80)/cloudfront-us-east-2.images.arcpublishing.com/reuters/HUAHE3YO75LA5POOSCDTHFHJ7I.jpg,2022-02-07T14:01:00Z,"PHNOM PENH, Feb 7 (Reuters) - Cambodian Prime Minister Hun Sen admitted an ""unintentional mistake"" on Monday in taking credit for helping to free an Australian in Myanmar whom the military government… [+1753 chars]",Helping,,,NEGATIVE,0.9930834770202637
26,Reuters,Reuters Editorial,"Wall Street rallies, led by 2% Nasdaq jump - Reuters","Wall Street advanced Wednesday on upbeat earnings reports and the benchmark 10-year U.S. Treasury yield falling from multi-year highs, helping steady investor sentiment and boosting demand for growth stocks.",https://www.reuters.com/video/watch/idRCV00AQ4F,https://static.reuters.com/resources/r/?d=20220209&i=RCV00AQ4F&r=RCV00AQ4F&t=2,2022-02-09T23:29:24Z,"Posted 
Wall Street advanced Wednesday on upbeat earnings reports and the benchmark 10-year U.S. Treasury yield falling from multi-year highs, helping steady investor sentiment and boosting demand f… [+16 chars]",Helping,,,NEGATIVE,0.8121704459190369
27,Reuters,,"Ice hockey-Finland defeat Japan 7-1, set up semi-final rematch with U.S. - Reuters","Finland rolled into the women's ice hockey semi-final round in Beijing on Saturday, with a hat-trick from assistant captain Petra Nieminen helping them crush Japan 7-1.",https://www.reuters.com/lifestyle/sports/ice-hockey-finland-defeat-japan-7-1-set-up-semi-final-rematch-with-us-2022-02-12/,https://www.reuters.com/resizer/YnYH4vWGHdjbda_QQkW5wmOjFNE=/1200x628/smart/filters:quality(80)/cloudfront-us-east-2.images.arcpublishing.com/reuters/OC736MSPFFMKVHMA4X2OBQKJ2M.jpg,2022-02-12T12:25:00Z,"BEIJING, Feb 12 (Reuters) - Finland rolled into the women's ice hockey semi-final round in Beijing on Saturday, with a hat-trick from assistant captain Petra Nieminen helping them crush Japan 7-1.
N… [+1723 chars]",Helping,,,POSITIVE,0.998961329460144
28,Engadget,Kris Holt,College sim 'Two Point Campus' arrives on May 17th,"Two Point Campus
, Sega and Two Point Studios' follow up to Two Point Hospital
, will arrive on May 17th. The quirky college life simulator is coming to PC, PlayStation 4, PS5, Xbox Series X/S and Nintendo Switch. Xbox Game Pass and PC Game Pass subscribers…",https://www.engadget.com/two-point-campus-release-date-sega-two-point-studios-150016937.html,https://s.yimg.com/os/creatr-uploaded-images/2022-01/485f4f70-7f80-11ec-b7df-ab7b9b214e81,2022-01-27T15:00:16Z,"Two Point Campus
, Sega and Two Point Studios' follow up to Two Point Hospital
, will arrive on May 17th. The quirky college life simulator is coming to PC, PlayStation 4, PS5, Xbox Series X/S and … [+961 chars]",Helping,,,POSITIVE,0.9725807309150696
29,NPR,Jewly Hight,"Brassville aims to reclaim the deep scope of Nashville music history, stage by stage",A contemporary brass band that grew out of one of Nashville's historically Black universities is helping to expand the lost musical identity of the country capital.,https://www.npr.org/2022/02/12/1080209155/brassville-aims-to-reclaim-the-deep-scope-of-nashville-music-history-stage-by-st,https://media.npr.org/assets/img/2022/02/11/img_0011_wide-ba9a619f17b6a4eef1d18764fe60ca4eef287a16.jpg?s=1400,2022-02-12T13:00:49Z,"The members of Brassville. From left, back row, standing: Jonathon Neal, MarVelous Brown, Derrick Greene, Adrian Pollard, Nate McDowell; seated on bench: Marcus Chandler and Rashad Sylvester; center,… [+9975 chars]",Helping,,,POSITIVE,0.9990586638450623
30,ESPN,Brooke Pryor,Rooney: Rule helping with minority GM hiring,"While he acknowledges the Rooney Rule hasn't helped to get minority head coaches hired so far this offseason, Steelers president Art Rooney II said the enhancements to the rule have helped to get more minority general managers hired.",https://www.espn.com/nfl/story/_/id/33208284/enhanced-rooney-rule-helping-minority-gm-hiring-hc-progress-lacking-pittsburgh-steelers-art-rooney-ii-says,https://a.espncdn.com/combiner/i?img=%2Fphoto%2F2022%2F0203%2Fr969502_1296x1296_1%2D1.jpg,2022-02-03T16:49:55Z,PITTSBURGH -- Days after former Dolphins head coach Brian Flores filed a class-action lawsuit against the NFL and three teams this week alleging discrimination in his interviews and his firing in Mia… [+3774 chars],Helping,,,POSITIVE,0.9075552821159363
31,Business Insider,insider@insider.com (Jen Glantz),Multiple income streams have kept me afloat for years. Here are 5 pandemic-era side hustles to make ends meet.,56% of millennials took on a side hustle during the pandemic. Here are 5 popular ones that have been helping people supplement their income.,https://www.businessinsider.com/personal-finance/pandemic-era-online-side-hustles-make-ends-meet-2022-1,https://i.insider.com/61e1ed5d04ce6e0018d75f79?width=1200&format=jpeg,2022-01-16T14:00:00Z,"I've been obsessed with side hustles ever since I was laid off from a full-time job in 2015. That's when I knew that I wanted to be self-employed and that in order to pay my bills, I needed to have m… [+4219 chars]",Helping,,,POSITIVE,0.9497794508934021
32,Entrepreneur,Vlado Bosnjak,From hola to bonjour: How Duolingo’s Luis von Ahn is helping the world communicate,,https://www.entrepreneur.com/article/413880,https://assets.entrepreneur.com/providers/public-com/hero-image-public-com-413880.jpeg,2022-01-19T13:00:07Z,"Growing up in Guatemala, Luis von Ahn saw firsthand how expensive it was for his Guatemalan community members to learn English. Reducing economic inequality through education and language learning wa… [+3301 chars]",Helping,,,,
33,New York Times,Michael Levenson,"Brian Laundrie Claimed Responsibility for Gabrielle Petito’s Death, F.B.I. Says","The agency, closing a high-profile case, said that a notebook found near Mr. Laundrie’s body included statements in which he confessed to killing his fiancée.",https://www.nytimes.com/2022/01/21/us/gabby-petito-brian-laundrie-notebook-confession.html,https://static01.nyt.com/images/2022/01/21/multimedia/21xp-petito1/21xp-petito1-facebookJumbo.jpg,2022-01-21T22:50:13Z,"A medical examiner concluded that he had died of a self-inflicted gunshot wound, the F.B.I. said. Near Mr. Laundries remains, investigators found the notebook, a backpack and a revolver.
Richard B. … [+1235 chars]",Helping,,,NEGATIVE,0.9857667684555054
34,MINING.com,,How an aluminum product is helping scientists better understand the Big Bang - MINING.COM - MINING.com,Alumina has been used to make a new type of optical element that will improve the performance of telescopes studying radiation from the Big Bang.,https://www.mining.com/how-an-aluminum-product-is-helping-scientists-better-understand-the-big-bang/,https://www.mining.com/wp-content/uploads/2022/02/How-an-aluminum-product-is-helping-scientists-better-understand-the-Big-Bang.jpeg,2022-02-03T14:08:12Z,"To study the CMB, telescopes must be tuned to wavelengths in which this cosmic microwave background is most intense, about 1-3 mm, and they must separate out shorter wavelength radiation that the atm… [+2208 chars]",Helping,,,POSITIVE,0.9997884631156921
35,StockNews.com,Riddhima Chakraborty,4 Under the Radar Metaverse Stocks to Add to Your Watchlist,"While the forthcoming interest rate hikes could disrupt the tech sector's near-term performance, the potential of the metaverse to change the tech landscape is helping this sector garner immense investor...",https://stocknews.com/news/tcehy-shop-snap-mtch-4-under-the-radar-metaverse-stocks-to-add-to-your/,https://assets.entrepreneur.com/providers/stocknews/hero-image-stocknews-415750.jpeg,2022-01-28T15:20:10Z,"While the forthcoming interest rate hikes could disrupt the tech sector's near-term performance, the potential of the metaverse to change the tech landscape is helping this sector garner immense inve… [+6607 chars]",Helping,,,POSITIVE,0.9978294968605042
36,Zacks.com,Zacks Equity Research,Mastercard (MA) Unveils Solution to Speed Up Supplier Payments,Mastercard (MA) launches the Mastercard Track Instant Pay solution with an aim to ensure speedy business payments helping both buyers and suppliers and bolster its B2B products and services suite.,http://www.zacks.com/stock/news/1857113/mastercard-ma-unveils-solution-to-speed-up-supplier-payments?cid=CS-ENTREPRENEUR-FT-analyst_blog|company_news_-_finance_sector-1857113,https://assets.entrepreneur.com/providers/zacks/hero-image-zacks-415081.jpeg,2022-01-25T19:30:00Z,"Mastercard IncorporatedMA recently introduced an innovative virtual card solution Mastercard Track Instant Pay to ensure accelerated and seamless business payments, thereby benefiting buyers and supp… [+6305 chars]",Helping,,,POSITIVE,0.9946991205215454
37,The Guardian,Reuters,US trial begins for ex-Goldman Sachs banker accused in 1MDB scandal,Roger Ng pleads not guilty to helping to launder millions of dollars looted from Malaysian sovereign wealth fundOpening statements are expected to take place on Monday in the US corruption trial of a former Goldman Sachs banker charged with helping to launder…,https://amp.theguardian.com/world/2022/feb/14/1mdb-goldman-sachs-roger-ng-corruption-trial,https://i.guim.co.uk/img/media/896443dd782efa0d0af672805e756eeb53871957/0_0_3607_2164/master/3607.jpg?width=1200&height=630&quality=85&auto=format&fit=crop&overlay-align=bottom%2Cleft&overlay-width=100p&overlay-base64=L2ltZy9zdGF0aWMvb3ZlcmxheXMvdGctZGVmYXVsdC5wbmc&enable=upscale&s=ca76ceeef3a58e7bbb13c888fc152ca3,2022-02-14T13:44:06Z,Opening statements are expected to take place on Monday in the US corruption trial of a former Goldman Sachs banker charged with helping to launder hundreds of millions of dollars looted from Malaysi… [+1257 chars],Helping,,,NEGATIVE,0.9908391833305359
